id,word,part_of_speech,cefr_level,phonetic_uk,phonetic_us,thai_meaning,example_sentence,example_translation,category,distractors,audio_key,note,raw_entry
1,"a, an",indefinite article,A1,,,,,,General,,a__an,,"a, an indefinite article"
2,about,"prep., adv.",A1,,,,,,General,,about,,"about prep., adv."
3,above,"prep., adv.",A1,,,,,,General,,above,,"above prep., adv."
4,across,"prep., adv.",A1,,,,,,General,,across,,"across prep., adv."
5,action,n.,A1,,,,,,General,,action,,action n.
6,activity,n.,A1,,,,,,General,,activity,,activity n.
7,actor,n.,A1,,,,,,General,,actor,,actor n.
8,actress,n.,A1,,,,,,General,,actress,,actress n.
9,add,v.,A1,,,,,,General,,add,,add v.
10,address,n.,A1,,,,,,General,,address,,address n.
11,adult,n.,A1,,,,,,General,,adult,,adult n.
12,advice,n.,A1,,,,,,General,,advice,,advice n.
13,afraid,adj.,A1,,,,,,General,,afraid,,afraid adj.
14,after,prep.,A1,,,,,,General,,after,,after prep.
15,afternoon,n.,A1,,,,,,General,,afternoon,,afternoon n.
16,again,adv.,A1,,,,,,General,,again,,again adv.
17,age,n.,A1,,,,,,General,,age,,age n.
18,ago,adv.,A1,,,,,,General,,ago,,ago adv.
19,agree,v.,A1,,,,,,General,,agree,,agree v.
20,air,n.,A1,,,,,,General,,air,,air n.
21,airport,n.,A1,,,,,,General,,airport,,airport n.
22,all,"det., pron.",A1,,,,,,General,,all,,"all det., pron."
23,also,adv.,A1,,,,,,General,,also,,also adv.
24,always,adv.,A1,,,,,,General,,always,,always adv.
25,amazing,adj.,A1,,,,,,General,,amazing,,amazing adj.
26,and,conj.,A1,,,,,,General,,and,,and conj.
27,angry,adj.,A1,,,,,,General,,angry,,angry adj.
28,animal,n.,A1,,,,,,General,,animal,,animal n.
29,another,det./pron.,A1,,,,,,General,,another,,another det./pron.
30,answer,"n., v.",A1,,,,,,General,,answer,,"answer n., v."
31,any,"det., pron.",A1,,,,,,General,,any,,"any det., pron."
32,anyone,pron.,A1,,,,,,General,,anyone,,anyone pron.
33,anything,pron.,A1,,,,,,General,,anything,,anything pron.
34,apartment,n.,A1,,,,,,General,,apartment,,apartment n.
35,apple,n.,A1,,,,,,General,,apple,,apple n.
36,April,n.,A1,,,,,,General,,april,,April n.
37,area,n.,A1,,,,,,General,,area,,area n.
38,arm,n.,A1,,,,,,General,,arm,,arm n.
39,around,"prep., adv.",A1,,,,,,General,,around,,"around prep., adv."
40,arrive,v.,A1,,,,,,General,,arrive,,arrive v.
41,art,n.,A1,,,,,,General,,art,,art n.
42,article,n.,A1,,,,,,General,,article,,article n.
43,artist,n.,A1,,,,,,General,,artist,,artist n.
44,as,prep.,A1,,,,,,General,,as,,as prep.
45,ask,v.,A1,,,,,,General,,ask,,ask v.
46,at,prep.,A1,,,,,,General,,at,,at prep.
47,August,n.,A1,,,,,,General,,august,,August n.
48,aunt,n.,A1,,,,,,General,,aunt,,aunt n.
49,autumn,n.,A1,,,,,,General,,autumn,,autumn n.
50,away,adv.,A1,,,,,,General,,away,,away adv.
51,baby,n.,A1,,,,,,General,,baby,,baby n.
52,back,"n., adv.",A1,,,,,,General,,back,,"back n., adv."
53,bad,adj.,A1,,,,,,General,,bad,,bad adj.
54,bag,n.,A1,,,,,,General,,bag,,bag n.
